frame_id,class_id,x1,y1,x2,y2,confidence
0,0,884,426,1013,609,0.7763451933860779
0,0,340,408,479,553,0.7441239356994629
0,0,841,282,932,404,0.6699888706207275
0,0,599,216,680,305,0.6645374894142151
0,0,529,109,593,170,0.5740699768066406
0,0,425,120,490,185,0.3696114420890808
1,0,887,429,1012,611,0.7686079740524292
1,0,599,220,683,318,0.6854040622711182
1,0,327,421,471,566,0.6391828656196594
1,0,841,286,940,412,0.6312323212623596
1,0,532,111,591,175,0.5928722620010376
1,0,425,119,489,185,0.46919459104537964
2,0,885,430,1012,615,0.8221129775047302
2,0,603,224,682,320,0.7451709508895874
2,0,317,432,464,578,0.7339668273925781
2,0,845,288,939,415,0.7074829936027527
2,0,531,113,590,179,0.6499733924865723
2,0,545,29,592,75,0.6317723989486694
2,0,425,121,489,185,0.41335344314575195
3,0,885,433,1011,619,0.8110259771347046
3,0,310,439,462,592,0.7598220109939575
3,0,596,227,682,331,0.7519727349281311
3,0,844,289,941,419,0.6568577289581299
3,0,544,28,593,76,0.6445279121398926
3,0,529,117,591,182,0.6037779450416565
3,0,425,121,489,184,0.40296798944473267
4,0,885,435,1015,622,0.8432942628860474
4,0,299,449,454,607,0.7467244267463684
4,0,596,232,679,333,0.7360942959785461
4,0,845,291,942,417,0.7276462912559509
4,0,529,118,590,185,0.680343747138977
4,0,544,27,594,78,0.6697296500205994
4,0,425,121,489,185,0.4151395857334137
5,0,286,458,448,622,0.8053574562072754
5,0,886,438,1017,624,0.7678477764129639
5,0,596,239,677,343,0.7583098411560059
5,0,846,293,945,423,0.7374451756477356
5,0,528,122,592,188,0.6660669445991516
5,0,544,24,594,81,0.4884931743144989
5,0,425,122,490,185,0.40385958552360535
5,0,546,36,591,82,0.2640366852283478
6,0,277,473,441,635,0.8753904700279236
6,0,885,438,1017,629,0.7820325493812561
6,0,593,241,680,351,0.7053841352462769
6,0,846,293,945,425,0.6986384987831116
6,0,527,124,594,194,0.670897364616394
6,0,545,28,595,82,0.5554565191268921
6,0,424,122,490,185,0.37358540296554565
7,0,264,482,431,654,0.8581621646881104
7,0,592,250,682,354,0.7627437710762024
7,0,845,295,946,429,0.7367246150970459
7,0,887,441,1018,629,0.7340570092201233
7,0,525,129,593,199,0.7132911682128906
7,0,426,121,490,184,0.3985670208930969
7,0,542,30,594,86,0.37677472829818726
8,0,248,492,426,679,0.8311951160430908
8,0,845,296,947,430,0.7520381212234497
8,0,525,132,593,202,0.7109373211860657
8,0,588,252,675,360,0.6987622380256653
8,0,884,444,1018,628,0.6519030332565308
8,0,542,32,595,88,0.35868796706199646
8,0,425,121,492,185,0.35400354862213135
9,0,236,504,415,699,0.8244062662124634
9,0,843,297,942,431,0.7396486401557922
9,0,522,135,593,207,0.686455249786377
9,0,582,255,680,373,0.6145879626274109
9,0,878,443,1023,637,0.5607232451438904
9,0,543,39,595,91,0.36930975317955017
9,0,425,122,491,185,0.302531361579895
10,0,845,301,942,432,0.7835449576377869
10,0,222,524,406,719,0.7717801332473755
10,0,580,264,676,377,0.689120352268219
10,0,887,446,1022,641,0.6868212819099426
10,0,524,140,592,212,0.6594087481498718
10,0,426,121,491,185,0.35870298743247986
10,0,542,46,595,92,0.3475933372974396
11,0,208,539,396,726,0.8504008054733276
11,0,847,304,945,434,0.8158420324325562
11,0,580,270,675,389,0.7248245477676392
11,0,877,444,1027,648,0.7025870084762573
11,0,520,141,593,218,0.6480000019073486
11,0,425,119,492,186,0.36968734860420227
11,0,542,48,597,93,0.361356645822525
12,0,187,550,391,756,0.8866578936576843
12,0,847,302,947,436,0.8066427111625671
12,0,578,278,673,391,0.7860749959945679
12,0,522,146,591,221,0.7295417785644531
12,0,887,451,1019,651,0.7086604237556458
12,0,540,46,598,95,0.3548561632633209
12,0,424,119,492,186,0.3389820456504822
13,0,170,568,379,777,0.9077666401863098
13,0,848,304,948,437,0.8101003766059875
13,0,887,453,1022,656,0.6935002207756042
13,0,517,152,589,224,0.6722039580345154
13,0,569,282,671,403,0.6679015159606934
13,0,540,47,599,100,0.40216097235679626
13,0,427,120,492,186,0.341426283121109
14,0,150,584,368,800,0.8708985447883606
14,0,849,304,949,440,0.782097339630127
14,0,518,153,589,232,0.6760041117668152
14,0,888,456,1023,653,0.6687541604042053
