                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7461,                 1.3464,                 1.4417,                0.69993,                0.56641,                0.60755,                0.29307,                 1.8393,                 1.1114,                 1.3002,               0.007756,               0.007756,               0.007756
                     36,                 1.7448,                 1.3415,                 1.4433,                0.68622,                0.53878,                0.58963,                0.28989,                 1.8418,                 1.1361,                 1.2947,                0.00769,                0.00769,                0.00769
                     37,                 1.7441,                 1.3332,                 1.4344,                 0.7023,                0.55761,                0.60412,                0.29498,                 1.8362,                 1.1185,                 1.2901,               0.007624,               0.007624,               0.007624
                     38,                 1.7402,                  1.336,                 1.4369,                0.72242,                 0.5695,                0.62007,                0.30364,                  1.803,                 1.0872,                 1.2819,               0.007558,               0.007558,               0.007558
                     39,                 1.7355,                 1.3218,                  1.428,                0.70258,                0.55599,                0.60624,                0.29494,                 1.8479,                 1.1058,                 1.2983,               0.007492,               0.007492,               0.007492
                     40,                   1.74,                  1.332,                 1.4337,                0.70473,                0.56532,                0.60965,                0.29279,                 1.8439,                  1.132,                 1.2908,               0.007426,               0.007426,               0.007426
                     41,                 1.7452,                 1.3345,                 1.4336,                0.69086,                0.55988,                0.60589,                0.29284,                 1.8595,                 1.1155,                 1.3012,                0.00736,                0.00736,                0.00736
                     42,                 1.7423,                 1.3302,                 1.4324,                0.69763,                0.56077,                0.61001,                0.29812,                 1.8146,                 1.1126,                 1.2702,               0.007294,               0.007294,               0.007294
                     43,                 1.7491,                 1.3365,                 1.4308,                0.70526,                0.56045,                0.60329,                0.29164,                 1.8551,                  1.126,                 1.2934,               0.007228,               0.007228,               0.007228
                     44,                 1.7326,                 1.3219,                 1.4241,                0.70298,                0.56544,                0.60791,                0.29524,                 1.8479,                 1.1009,                 1.2913,               0.007162,               0.007162,               0.007162
                     45,                 1.7355,                 1.3275,                 1.4295,                0.70336,                0.55912,                0.60864,                0.28935,                 1.8868,                 1.1158,                 1.3054,               0.007096,               0.007096,               0.007096
                     46,                 1.7485,                 1.3335,                 1.4284,                0.69648,                0.57152,                 0.6151,                 0.2948,                 1.8569,                 1.1024,                 1.2939,                0.00703,                0.00703,                0.00703
                     47,                  1.728,                 1.3215,                 1.4208,                 0.6988,                0.56216,                0.61109,                 0.2962,                  1.848,                 1.1049,                 1.2864,               0.006964,               0.006964,               0.006964
                     48,                 1.7315,                 1.3192,                 1.4215,                0.69877,                0.56241,                0.60947,                0.29994,                 1.8188,                 1.1004,                 1.2702,               0.006898,               0.006898,               0.006898
                     49,                 1.7289,                 1.3161,                 1.4164,                0.70808,                0.56874,                0.61308,                0.29424,                 1.8599,                 1.1172,                 1.2929,               0.006832,               0.006832,               0.006832
                     50,                 1.7337,                 1.3211,                 1.4212,                  0.718,                0.56769,                0.61926,                0.29984,                 1.8407,                 1.0947,                 1.2851,               0.006766,               0.006766,               0.006766
                     51,                  1.729,                 1.3085,                 1.4164,                 0.7081,                0.57089,                0.61587,                0.29969,                 1.8447,                 1.0969,                 1.2868,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.7216,                  1.306,                 1.4105,                0.70697,                0.56494,                0.61209,                0.29737,                 1.8425,                 1.1033,                 1.2801,               0.006634,               0.006634,               0.006634
                     53,                 1.7258,                 1.3093,                 1.4117,                0.69949,                0.56434,                0.61227,                0.29654,                 1.8459,                 1.0901,                 1.2808,               0.006568,               0.006568,               0.006568
                     54,                 1.7251,                 1.3068,                 1.4129,                0.71264,                 0.5638,                0.61814,                0.30036,                   1.85,                 1.0942,                 1.2892,               0.006502,               0.006502,               0.006502
                     55,                 1.7247,                 1.3095,                 1.4107,                0.70304,                0.57493,                0.62076,                0.30273,                 1.8271,                  1.087,                 1.2745,               0.006436,               0.006436,               0.006436
                     56,                 1.7194,                 1.3058,                  1.407,                0.71401,                0.56671,                0.62205,                0.30028,                 1.8462,                 1.0896,                  1.282,                0.00637,                0.00637,                0.00637
                     57,                 1.7328,                 1.3084,                 1.4129,                0.70609,                0.55697,                0.61286,                0.29649,                 1.8562,                 1.1034,                 1.2856,               0.006304,               0.006304,               0.006304
                     58,                 1.7123,                 1.2948,                 1.4015,                  0.712,                0.55773,                0.61341,                0.29982,                 1.8297,                 1.0858,                 1.2764,               0.006238,               0.006238,               0.006238
                     59,                 1.7203,                 1.3008,                  1.404,                0.71661,                0.55998,                 0.6128,                0.29791,                 1.8462,                 1.1025,                  1.278,               0.006172,               0.006172,               0.006172
                     60,                 1.7182,                 1.2992,                 1.4034,                0.71174,                0.56052,                0.61278,                 0.2939,                 1.8689,                 1.1002,                 1.2898,               0.006106,               0.006106,               0.006106
                     61,                 1.7176,                 1.3005,                 1.3999,                0.69702,                0.56102,                0.60978,                0.29792,                 1.8307,                 1.1037,                 1.2711,                0.00604,                0.00604,                0.00604
                     62,                 1.7227,                 1.3004,                 1.4012,                 0.7076,                0.56438,                0.61718,                0.30042,                 1.8402,                 1.0951,                 1.2725,               0.005974,               0.005974,               0.005974
                     63,                 1.7257,                  1.301,                 1.4044,                0.70929,                0.57658,                0.62301,                0.30432,                 1.8279,                 1.0793,                 1.2687,               0.005908,               0.005908,               0.005908
