frame_id,class_name,x1,y1,x2,y2,confidence
0,car,839,290,940,402,0.9940416216850281
0,car,600,220,680,305,0.9962490200996399
0,car,548,29,589,63,0.9891047477722168
0,car,419,117,488,177,0.9885186553001404
0,car,886,431,1012,604,0.9958130717277527
0,car,594,3,634,35,0.9883495569229126
0,car,527,109,591,169,0.995385468006134
0,car,166,1015,374,1079,0.9544256329536438
0,car,332,413,478,546,0.9975146055221558
1,car,839,288,939,405,0.9910354614257812
1,car,598,224,678,311,0.9968119263648987
1,car,546,32,587,66,0.9897818565368652
1,car,418,117,490,177,0.9917216897010803
1,car,886,436,1014,607,0.9964680671691895
1,car,593,2,634,36,0.9873554110527039
1,car,525,113,589,172,0.9965918064117432
1,car,324,422,472,561,0.9966652989387512
2,car,840,290,941,408,0.9844464659690857
2,car,599,230,679,315,0.9970009922981262
2,car,546,32,589,69,0.9899742007255554
2,car,418,116,490,177,0.9924713373184204
2,car,885,435,1016,610,0.9964642524719238
2,car,594,3,635,37,0.9899167418479919
2,car,525,115,588,177,0.9967549443244934
2,car,312,434,468,573,0.9974811673164368
3,car,840,291,942,408,0.9899346232414246
3,car,597,235,680,322,0.9969657063484192
3,car,545,33,590,71,0.987708568572998
3,car,418,117,490,178,0.9935279488563538
3,car,886,437,1017,612,0.9974743723869324
3,car,594,4,636,38,0.9907801747322083
3,car,524,119,587,180,0.9959812164306641
3,car,303,448,459,588,0.9981574416160583
4,car,842,293,942,410,0.9937373399734497
4,car,595,239,679,329,0.9964471459388733
4,car,544,34,590,74,0.9892268180847168
4,car,418,117,490,178,0.9924087524414062
4,car,886,438,1015,613,0.9952882528305054
4,car,594,5,635,38,0.990391731262207
4,car,525,121,589,184,0.9964501857757568
4,car,290,455,456,605,0.9986314177513123
5,car,841,297,944,413,0.9930742979049683
5,car,593,244,678,334,0.996319055557251
5,car,543,36,590,77,0.9890163540840149
5,car,418,117,491,179,0.9935374855995178
5,car,886,441,1016,618,0.9978278279304504
5,car,594,5,636,41,0.9900926947593689
5,car,524,123,588,188,0.9960048794746399
5,car,280,468,447,619,0.9981390237808228
6,car,841,299,944,414,0.9953426122665405
6,car,591,250,677,340,0.9966140389442444
6,car,543,36,590,78,0.9870761036872864
6,car,418,117,491,179,0.9932273030281067
6,car,886,440,1017,618,0.9953409433364868
6,car,594,6,637,41,0.9900525212287903
6,car,523,124,590,192,0.9960017800331116
6,car,268,479,444,635,0.9977287650108337
7,car,841,300,944,416,0.9950672388076782
7,car,589,256,677,349,0.9970725774765015
7,car,543,37,592,79,0.9898402690887451
7,car,418,116,490,178,0.9506760835647583
7,car,418,117,489,178,0.9659168124198914
7,car,886,443,1018,621,0.9979177117347717
7,car,595,7,637,41,0.990757167339325
7,car,523,129,590,195,0.9954977035522461
7,car,254,491,436,652,0.9977332353591919
8,car,843,302,945,420,0.994695246219635
8,car,586,260,675,353,0.9968112111091614
8,car,542,39,591,81,0.9916464686393738
8,car,419,117,491,180,0.9913233518600464
8,car,888,444,1017,624,0.9969161748886108
8,car,596,8,637,42,0.9889854192733765
8,car,522,134,589,200,0.9947699904441833
8,car,241,503,432,668,0.9979270696640015
9,car,845,304,944,422,0.9949668049812317
9,car,584,267,674,361,0.996170699596405
9,car,418,117,490,180,0.9921401143074036
9,car,888,447,1019,628,0.9967808723449707
9,car,597,9,637,42,0.9830195307731628
9,car,522,137,588,204,0.9938076138496399
9,car,226,517,420,689,0.9981620907783508
9,car,539,41,589,84,0.9912312626838684
10,car,846,304,946,426,0.9943796992301941
10,car,578,273,675,372,0.9965415596961975
10,car,418,117,489,179,0.9917650818824768
10,car,889,449,1021,634,0.9981617331504822
10,car,599,11,637,42,0.9741190671920776
10,car,521,141,589,210,0.9920293092727661
10,car,213,532,412,706,0.9982699155807495
10,car,540,43,590,84,0.9884846806526184
11,car,846,307,947,428,0.9926565289497375
11,car,576,278,676,379,0.9968805313110352
11,car,419,117,491,179,0.992540180683136
11,car,888,450,1024,639,0.9984544515609741
11,car,597,13,637,43,0.983625054359436
11,car,520,145,589,215,0.9927023649215698
11,car,198,544,403,727,0.9984951019287109
11,car,541,49,593,90,0.9905608296394348
12,car,847,309,946,429,0.9931225180625916
12,car,575,285,673,388,0.9970831274986267
12,car,418,117,490,180,0.9932070374488831
12,car,887,451,1024,640,0.9982771873474121
12,car,596,12,637,44,0.9859437942504883
12,car,518,149,588,216,0.995074450969696
12,car,180,558,393,747,0.9985209107398987
12,car,539,51,592,92,0.9920099973678589
13,car,846,310,949,432,0.9927207231521606
13,car,572,292,673,397,0.9974160194396973
13,car,419,117,491,180,0.9927573204040527
13,car,886,453,1024,642,0.997998058795929
13,car,597,12,637,44,0.9746819734573364
13,car,516,151,587,220,0.9944174289703369
13,car,164,575,380,769,0.9981340765953064
13,car,539,52,593,95,0.9920933842658997
14,car,850,312,949,433,0.9886716604232788
14,car,566,301,674,404,0.9974287152290344
14,car,419,118,491,180,0.992641270160675
14,car,886,456,1024,646,0.9984884262084961
14,car,599,19,640,50,0.9557403922080994
14,car,516,159,586,225,0.9960373640060425
14,car,145,592,369,794,0.998345136642456
14,car,538,54,594,97,0.9924317598342896
15,car,851,312,950,434,0.9927008152008057
15,car,596,303,665,361,0.908044159412384
15,car,419,117,491,180,0.9917389154434204
15,car,886,458,1024,648,0.9981683492660522
15,car,560,311,670,415,0.9950317144393921
15,car,598,17,640,50,0.9579908847808838
15,car,516,160,585,229,0.9945183396339417
15,car,122,609,358,816,0.998604953289032
15,car,538,55,593,100,0.9929520487785339
16,car,852,315,950,438,0.9869967699050903
16,car,559,309,669,425,0.9971587657928467
16,car,419,117,490,179,0.993010938167572
16,car,888,460,1024,649,0.9979996085166931
16,car,599,21,639,52,0.9756483435630798
16,car,516,166,585,235,0.9949181079864502
16,car,102,628,344,843,0.9987058639526367
16,car,539,56,593,101,0.9927288889884949
17,car,575,313,661,373,0.9602431058883667
17,car,852,321,950,440,0.992460310459137
17,car,419,117,489,180,0.9915748238563538
17,car,553,325,663,438,0.9897643327713013
17,car,889,464,1024,652,0.9970027804374695
17,car,597,21,638,55,0.9717318415641785
17,car,513,170,586,241,0.9929848313331604
17,car,83,644,332,869,0.9988799691200256
17,car,540,59,593,105,0.9903297424316406
18,car,572,318,661,388,0.9515413641929626
18,car,853,322,951,442,0.9890264868736267
18,car,418,116,490,179,0.9923455119132996
18,car,551,342,659,444,0.9941701889038086
18,car,890,465,1025,655,0.997119665145874
18,car,597,22,639,58,0.9779430627822876
18,car,512,173,584,246,0.9933907985687256
18,car,63,663,318,896,0.998953104019165
18,car,539,59,594,108,0.9908213019371033
19,car,571,326,661,395,0.972018837928772
19,car,854,324,952,444,0.990182101726532
19,car,419,116,490,180,0.9929012656211853
19,car,548,355,659,457,0.9959671497344971
19,car,889,469,1027,655,0.9976918697357178
19,car,597,24,640,61,0.9806503653526306
19,car,510,178,584,253,0.9932265877723694
19,car,43,684,302,926,0.9989880919456482
19,car,538,63,594,111,0.9911516308784485
20,car,569,335,661,400,0.9789750576019287
20,car,855,324,953,446,0.9930429458618164
20,car,419,117,490,180,0.9924618601799011
20,car,542,352,656,464,0.9956276416778564
20,car,889,471,1026,658,0.9978508949279785
20,car,600,25,643,63,0.9890726208686829
20,car,508,181,583,261,0.992669939994812
20,car,13,705,288,957,0.9987832903862
20,car,538,64,594,114,0.9926325678825378
21,car,556,344,651,405,0.9697171449661255
21,car,853,326,954,449,0.9921572208404541
21,car,418,117,490,181,0.9921412467956543
21,car,537,375,649,474,0.995598316192627
21,car,599,25,643,63,0.9840549826622009
21,car,888,472,1026,659,0.9981563687324524
21,car,503,192,582,264,0.9940815567970276
21,car,0,727,272,990,0.9979693293571472
21,car,537,67,594,116,0.9926310777664185
22,car,551,350,649,418,0.926113486289978
22,car,853,326,953,454,0.9913133978843689
22,car,419,117,491,181,0.992466151714325
22,car,535,376,648,489,0.9930450320243835
22,car,600,26,644,64,0.9868860244750977
22,car,888,472,1028,664,0.9981812238693237
22,car,505,193,584,269,0.9944614171981812
22,car,0,750,257,1029,0.9988780617713928
22,car,539,69,596,118,0.9933176040649414
23,car,855,330,954,456,0.9897006750106812
23,car,552,358,657,455,0.993187665939331
23,car,419,117,491,181,0.991716206073761
23,car,529,394,645,499,0.9953000545501709
23,car,602,27,644,67,0.9878664016723633
23,car,887,475,1029,667,0.9976696372032166
23,car,503,196,583,275,0.9935751557350159
23,car,0,774,242,1063,0.9983456134796143
23,car,538,71,596,121,0.9893071055412292
24,car,556,365,647,457,0.9887117147445679
24,car,856,334,954,458,0.9903457760810852
24,car,600,366,651,453,0.9090780019760132
24,car,419,117,491,180,0.990575909614563
24,car,525,394,644,512,0.9953704476356506
24,car,603,28,645,68,0.9856716394424438
24,car,888,477,1027,667,0.9983974099159241
24,car,500,203,581,281,0.9927147030830383
24,car,0,797,226,1074,0.9986831545829773
24,car,539,70,598,124,0.9889927506446838
25,car,855,334,954,459,0.9919397234916687
25,car,547,374,647,476,0.966083824634552
25,car,419,118,491,182,0.9911496639251709
25,car,517,387,643,525,0.9941542744636536
25,car,601,28,646,73,0.9859812259674072
25,car,888,478,1030,672,0.9980467557907104
25,car,495,207,577,289,0.9917839765548706
25,car,0,827,202,1077,0.9990155696868896
25,car,538,72,598,127,0.9915040135383606
26,car,861,338,954,459,0.9935904741287231
26,car,553,383,640,471,0.9833569526672363
26,car,420,117,491,181,0.9923474788665771
26,car,512,401,637,537,0.9914092421531677
26,car,602,32,645,75,0.9861465096473694
26,car,890,481,1030,674,0.9985436201095581
26,car,494,213,578,298,0.9913955330848694
26,car,0,852,179,1076,0.998540997505188
26,car,540,74,598,128,0.9888269901275635
27,car,860,338,955,462,0.9942455887794495
27,car,545,391,645,486,0.9830170273780823
27,car,419,116,491,181,0.9924949407577515
27,car,508,409,634,548,0.9926987290382385
27,car,601,32,644,76,0.9858518838882446
27,car,891,483,1030,677,0.9987772107124329
27,car,490,221,577,305,0.9891883730888367
27,car,0,884,160,1077,0.9982561469078064
27,car,540,77,598,130,0.9929293990135193
28,car,860,342,955,463,0.9823108911514282
28,car,419,119,491,181,0.9924105405807495
28,car,499,403,640,562,0.9946297407150269
28,car,600,35,645,79,0.9896253943443298
28,car,892,486,1030,680,0.99895179271698
28,car,489,226,577,307,0.9944090247154236
28,car,0,918,135,1078,0.9981287121772766
28,car,538,80,597,134,0.9940581321716309
29,car,859,344,955,465,0.9863536953926086
29,car,418,118,491,180,0.9919114708900452
29,car,498,415,637,580,0.9961568713188171
29,car,892,488,1030,681,0.9980359673500061
29,car,600,37,644,80,0.9881442785263062
29,car,481,229,575,318,0.9935635328292847
29,car,0,947,110,1078,0.9975080490112305
29,car,538,83,597,136,0.9942751526832581
30,car,859,347,955,467,0.9813893437385559
