                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.208,                0.62806,                 1.1484,                0.80614,                0.70469,                0.78124,                0.44095,                 1.5365,                 0.7208,                 1.1878,                0.00769,                0.00769,                0.00769
                     37,                 1.2054,                0.62003,                  1.142,                0.83145,                0.74845,                0.80858,                 0.4593,                 1.4634,                0.64328,                 1.1533,               0.007624,               0.007624,               0.007624
                     38,                 1.1961,                0.61725,                 1.1395,                0.84409,                0.75832,                0.82409,                0.46518,                 1.4699,                 0.6302,                 1.1548,               0.007558,               0.007558,               0.007558
                     39,                 1.1942,                0.61028,                 1.1321,                0.83259,                0.74722,                0.81158,                 0.4637,                 1.4647,                0.64666,                 1.1643,               0.007492,               0.007492,               0.007492
                     40,                  1.191,                0.61188,                 1.1352,                0.83589,                0.75022,                0.81383,                0.47081,                 1.4128,                0.63877,                 1.1395,               0.007426,               0.007426,               0.007426
                     41,                 1.1853,                0.60773,                 1.1327,                0.82898,                0.75342,                0.81446,                0.45942,                 1.4798,                0.63564,                 1.1559,                0.00736,                0.00736,                0.00736
                     42,                  1.181,                0.60405,                 1.1305,                0.83821,                0.75604,                0.81318,                0.46234,                 1.4645,                0.64092,                 1.1583,               0.007294,               0.007294,               0.007294
                     43,                 1.1804,                0.60291,                 1.1252,                0.83061,                0.75692,                0.81018,                0.45984,                 1.4634,                0.63513,                 1.1467,               0.007228,               0.007228,               0.007228
                     44,                 1.1712,                0.59457,                 1.1221,                0.82921,                0.73436,                0.79796,                0.45612,                 1.4809,                0.64918,                 1.1641,               0.007162,               0.007162,               0.007162
                     45,                 1.1637,                0.59509,                 1.1207,                0.83216,                0.75022,                0.81265,                0.45678,                 1.4963,                0.63615,                 1.1655,               0.007096,               0.007096,               0.007096
                     46,                 1.1697,                0.59409,                 1.1181,                0.82873,                0.74474,                0.80174,                0.45007,                 1.4978,                0.64429,                 1.1723,                0.00703,                0.00703,                0.00703
                     47,                 1.1544,                0.58602,                 1.1125,                0.83543,                0.75243,                0.81467,                0.46986,                 1.4545,                0.63326,                  1.145,               0.006964,               0.006964,               0.006964
                     48,                  1.152,                0.58218,                 1.1114,                0.83427,                0.76477,                0.81326,                 0.4644,                 1.4456,                0.62749,                 1.1513,               0.006898,               0.006898,               0.006898
                     49,                 1.1507,                0.57971,                 1.1078,                0.82959,                0.76047,                0.81664,                0.46483,                 1.4701,                0.62446,                 1.1626,               0.006832,               0.006832,               0.006832
                     50,                 1.1456,                0.57949,                 1.1104,                0.83451,                0.76213,                0.81833,                0.46802,                 1.4471,                0.62516,                 1.1615,               0.006766,               0.006766,               0.006766
                     51,                 1.1331,                0.57013,                 1.1083,                0.83718,                0.75434,                0.81715,                0.47197,                 1.4416,                 0.6243,                 1.1529,                 0.0067,                 0.0067,                 0.0067
                     52,                  1.133,                0.57255,                 1.1081,                0.83458,                0.74048,                0.80304,                0.45389,                 1.5035,                0.64035,                 1.1767,               0.006634,               0.006634,               0.006634
                     53,                 1.1252,                0.56663,                 1.1007,                0.82352,                0.75777,                 0.8072,                0.45744,                 1.4823,                0.62829,                 1.1685,               0.006568,               0.006568,               0.006568
                     54,                 1.1257,                0.56536,                 1.1002,                0.84467,                0.75718,                0.82528,                 0.4803,                 1.4143,                   0.61,                  1.143,               0.006502,               0.006502,               0.006502
                     55,                 1.1201,                0.56089,                 1.1023,                0.83832,                0.75098,                0.81887,                0.46542,                 1.4762,                0.62574,                 1.1742,               0.006436,               0.006436,               0.006436
