frame_id,class_id,x1,y1,x2,y2,confidence
0,2,423,119,488,178,0.7431029677391052
0,2,605,219,676,302,0.6717191934585571
0,2,339,415,478,545,0.6230676770210266
0,2,535,116,593,164,0.6167611479759216
0,5,894,432,1012,603,0.4354892075061798
0,2,833,730,930,783,0.31782883405685425
1,2,603,222,675,308,0.7366004586219788
1,2,423,116,493,176,0.6479585766792297
1,2,326,420,474,555,0.6215354800224304
1,5,895,434,1012,604,0.5633459091186523
1,2,534,118,594,168,0.5137922167778015
1,2,834,730,930,782,0.2936434745788574
1,2,597,6,635,35,0.2818167507648468
2,2,601,229,675,313,0.6874867081642151
2,2,424,117,489,177,0.6668126583099365
2,2,319,432,465,571,0.6253390908241272
2,2,533,122,594,173,0.5966638922691345
2,5,897,436,1011,607,0.47431135177612305
2,2,833,730,930,783,0.34575891494750977
3,2,600,230,677,319,0.745362401008606
3,2,423,119,488,177,0.6823865175247192
3,2,534,125,591,176,0.6510977149009705
3,2,309,444,459,583,0.6429323554039001
3,5,896,437,1013,609,0.5541684031486511
3,2,834,730,930,783,0.3706033229827881
3,2,855,299,937,408,0.29380491375923157
4,2,600,239,674,325,0.691723644733429
4,2,425,117,489,177,0.6598817110061646
4,2,536,126,592,180,0.6286900043487549
4,2,299,452,451,601,0.6122509241104126
4,5,897,437,1014,612,0.5326927304267883
4,2,834,730,930,783,0.3093414306640625
5,2,597,242,674,334,0.7298186421394348
5,2,425,120,487,177,0.7102441787719727
5,5,896,440,1015,616,0.6694870591163635
5,2,532,132,593,184,0.638256847858429
5,2,287,465,447,618,0.5862415432929993
5,2,835,730,931,785,0.2741023898124695
6,2,593,249,672,340,0.7214998006820679
6,2,425,120,487,177,0.7073853611946106
6,2,274,477,440,632,0.6546913981437683
6,2,532,135,591,187,0.5998782515525818
6,5,898,443,1016,619,0.5788371562957764
6,2,835,730,931,783,0.33570587635040283
6,7,898,445,1017,619,0.2908432185649872
7,2,263,491,431,651,0.7495589256286621
7,2,590,252,671,346,0.7424015998840332
7,2,425,119,488,177,0.6419063210487366
7,2,529,136,592,193,0.5419715046882629
7,5,898,445,1015,621,0.5369447469711304
7,7,898,445,1016,621,0.4584576487541199
7,2,835,730,931,784,0.343360960483551
8,2,425,119,489,178,0.6922351717948914
8,2,527,138,590,199,0.6826293468475342
8,2,588,257,670,354,0.6656251549720764
8,2,249,500,425,671,0.5934792160987854
8,5,899,447,1015,625,0.5881960988044739
8,7,898,449,1015,625,0.3927304148674011
9,2,424,119,488,177,0.6863537430763245
9,2,234,511,416,686,0.6781886219978333
9,2,530,141,590,202,0.6677864789962769
9,5,899,449,1017,630,0.6174151301383972
9,2,587,260,669,362,0.6088898181915283
9,2,835,730,931,783,0.2618032991886139
9,5,856,304,942,422,0.2559765875339508
9,2,543,53,593,85,0.2550359070301056
10,2,222,527,408,707,0.794870138168335
10,2,426,121,488,178,0.6544123291969299
10,2,526,144,589,208,0.6296702027320862
10,2,584,268,666,371,0.5909078121185303
10,2,546,52,593,88,0.521609365940094
