frame_id,class_id,x1,y1,x2,y2,confidence
0,2,338,413,478,543,0.874194860458374
0,2,886,429,1014,601,0.8096673488616943
0,2,532,113,589,166,0.7410539388656616
0,2,601,227,679,305,0.6820910573005676
0,2,162,1012,373,1079,0.6234957575798035
0,2,549,36,589,68,0.5964676141738892
0,2,423,121,488,179,0.5853405594825745
0,2,843,289,938,403,0.5213114619255066
0,2,598,8,634,35,0.4704013466835022
1,2,329,422,472,557,0.9095888137817383
1,2,886,432,1015,602,0.8696579933166504
1,2,600,224,679,311,0.802738606929779
1,2,532,113,589,169,0.7510350346565247
1,2,844,289,940,406,0.7393761277198792
1,2,415,120,488,179,0.5493292212486267
1,2,549,35,588,69,0.4679616093635559
1,2,599,7,633,36,0.4030801057815552
2,2,320,432,466,571,0.8994991183280945
2,2,884,432,1015,605,0.8775546550750732
2,2,601,228,677,317,0.716508686542511
2,2,531,115,588,173,0.7139462828636169
2,2,843,292,940,408,0.6801018714904785
2,2,551,38,589,71,0.6295455098152161
2,2,415,120,487,179,0.5991869568824768
2,2,601,8,633,36,0.47502902150154114
3,2,307,442,462,585,0.8999882936477661
3,2,886,435,1015,607,0.8560282588005066
3,2,596,233,679,322,0.7596714496612549
3,2,532,119,588,178,0.7245545983314514
3,2,845,294,941,411,0.7059513330459595
3,2,414,121,487,179,0.6368387341499329
3,2,548,40,590,73,0.5873335003852844
3,2,599,5,632,38,0.41935092210769653
4,2,297,454,453,599,0.908945620059967
4,2,886,437,1016,609,0.8810158967971802
4,2,595,238,678,328,0.7613250017166138
4,2,532,121,588,181,0.7453951239585876
4,2,846,295,942,412,0.7163690328598022
4,2,414,119,487,179,0.5814847946166992
4,2,550,41,591,75,0.48165711760520935
4,7,601,7,632,38,0.3764413297176361
5,2,286,464,447,617,0.9033375978469849
5,2,886,439,1017,614,0.8816400170326233
5,2,846,297,943,415,0.7663958072662354
5,2,530,125,589,186,0.7609938979148865
5,2,594,242,677,337,0.7586857676506042
