frame_id,class_name,x1,y1,x2,y2,confidence
0,car,588,7,621,34,0.3886815309524536
0,car,495,44,525,79,0.37444978952407837
0,car,536,19,566,46,0.2553752064704895
0,truck,598,217,676,306,0.6886863112449646
0,umbrella,155,1018,361,1079,0.7830764055252075
0,truck,597,218,677,305,0.44583117961883545
0,car,526,103,582,144,0.796112060546875
0,car,583,7,615,35,0.4308739900588989
0,car,522,109,587,167,0.9941417574882507
0,car,551,27,583,54,0.4066705107688904
0,car,478,46,513,87,0.9409496188163757
0,car,338,414,475,544,0.9966598749160767
0,car,412,118,484,182,0.9944334626197815
0,car,548,33,591,63,0.9916502237319946
0,car,598,218,675,305,0.9907308220863342
0,car,589,2,628,34,0.9921349287033081
0,truck,844,294,934,402,0.7724683880805969
0,car,841,295,935,404,0.9878472089767456
0,car,888,433,1012,603,0.9973459243774414
0,car,473,48,506,89,0.5646795034408569
1,car,590,6,621,34,0.354723185300827
1,car,528,103,582,143,0.3783426284790039
1,car,541,15,570,43,0.3561011254787445
1,car,598,225,675,310,0.9950993657112122
1,car,732,393,827,597,0.3065909743309021
1,car,530,100,582,134,0.37869423627853394
1,car,580,7,611,35,0.40828952193260193
1,car,524,111,587,170,0.9951643943786621
1,car,551,28,585,54,0.26836833357810974
1,car,476,45,513,88,0.868949830532074
1,car,327,425,470,557,0.9980717897415161
1,car,412,118,485,180,0.9948615431785583
1,car,547,31,591,62,0.9930374026298523
1,car,589,2,627,33,0.9923241138458252
1,truck,844,293,935,406,0.85429847240448
1,car,735,340,822,434,0.5199376344680786
1,car,842,294,935,409,0.9846585988998413
1,car,887,434,1011,605,0.9958968162536621
1,car,470,48,506,91,0.5834665298461914
2,car,589,7,621,35,0.40335631370544434
2,car,497,46,528,81,0.3471122980117798
2,car,592,231,673,318,0.9931066632270813
2,car,583,7,615,35,0.32650595903396606
2,car,523,115,586,172,0.9941755533218384
2,car,544,33,591,66,0.9959993362426758
2,car,473,49,510,90,0.8683224320411682
2,car,316,435,465,573,0.9987770915031433
2,car,412,118,486,181,0.9950171113014221
2,truck,593,229,672,317,0.4655340611934662
2,car,589,3,627,35,0.990767776966095
2,truck,843,295,938,409,0.7134421467781067
2,car,842,297,938,410,0.9929903745651245
2,car,888,434,1012,607,0.9967442750930786
2,car,467,51,501,93,0.6393063068389893
3,car,592,8,624,35,0.4120722711086273
3,car,749,368,806,427,0.40236222743988037
3,truck,887,434,1011,612,0.4750896096229553
3,car,592,234,675,323,0.9922614693641663
3,car,733,390,811,474,0.37943798303604126
3,car,586,7,619,35,0.4031948745250702
3,car,721,434,826,604,0.40447643399238586
3,car,522,120,585,178,0.9865164756774902
3,car,543,33,590,68,0.9960130453109741
3,car,476,51,509,88,0.7888695001602173
3,car,307,447,459,585,0.9986951947212219
3,car,412,118,485,181,0.995457649230957
3,car,590,4,628,35,0.9902536273002625
3,truck,844,297,937,411,0.7903271317481995
3,car,747,372,814,444,0.78526371717453
3,car,843,298,938,412,0.9913528561592102
3,car,888,434,1010,611,0.992766261100769
3,car,470,52,503,90,0.6333945989608765
4,truck,888,437,1012,613,0.2904084324836731
4,car,593,240,674,330,0.9953266382217407
4,car,522,123,584,182,0.9928458333015442
4,car,600,238,666,284,0.374120831489563
4,car,590,7,627,36,0.9074699878692627
4,car,717,421,828,607,0.4522343873977661
4,car,542,33,590,70,0.9954710006713867
4,car,478,49,515,91,0.3833830654621124
4,car,299,456,454,602,0.9987503290176392
4,car,414,118,486,180,0.994985818862915
4,car,592,4,629,35,0.9849299788475037
4,truck,845,297,936,415,0.6487526297569275
4,car,745,375,819,459,0.7694553732872009
4,car,845,299,937,415,0.993815541267395
4,car,888,436,1012,612,0.9962403774261475
4,car,469,53,507,95,0.3117052912712097
5,car,590,9,626,37,0.8426198959350586
5,truck,887,439,1010,616,0.47877180576324463
5,car,590,246,673,336,0.9955797791481018
5,car,583,8,617,36,0.43834227323532104
5,car,523,123,584,182,0.9927077889442444
5,car,542,37,591,72,0.9954949617385864
5,car,477,50,516,93,0.8289739489555359
5,car,289,467,447,617,0.9988019466400146
5,car,414,118,486,181,0.9957861304283142
5,car,591,5,630,36,0.9896630644798279
5,car,844,301,940,415,0.9968358874320984
5,car,888,438,1011,616,0.9962999224662781
5,car,469,54,504,93,0.26262542605400085
6,car,590,8,629,38,0.9560064673423767
6,car,586,250,672,342,0.9951512813568115
6,car,522,128,584,187,0.9915783405303955
6,car,543,38,591,73,0.9956530332565308
6,car,478,51,515,91,0.7850902676582336
6,car,274,478,440,633,0.9986690282821655
6,car,415,118,486,181,0.9958670139312744
6,car,592,5,631,37,0.98026442527771
6,car,847,302,940,417,0.9977012276649475
6,car,889,441,1012,617,0.997843861579895
6,car,471,54,507,93,0.5160438418388367
7,car,590,10,628,39,0.9593613743782043
7,car,586,255,673,349,0.9958508014678955
7,car,521,132,584,191,0.9939555525779724
7,car,542,39,592,75,0.9955052137374878
7,car,478,52,515,91,0.7817895412445068
7,car,260,490,432,650,0.9985466599464417
7,car,415,118,486,181,0.9944887161254883
