frame_id,class_id,x1,y1,x2,y2,confidence
0,0,884,431,1015,614,0.8872910141944885
0,0,842,289,936,414,0.8749414682388306
0,0,330,411,476,546,0.8624234199523926
0,0,602,217,676,309,0.8284482955932617
0,0,528,107,594,174,0.7902764081954956
0,0,423,115,491,187,0.7641002535820007
0,0,547,30,589,72,0.3698793649673462
1,0,883,433,1015,615,0.8903068900108337
1,0,326,419,471,560,0.8824072480201721
1,0,844,290,937,416,0.8714812994003296
1,0,603,218,676,315,0.8447957634925842
1,0,528,109,594,177,0.7801530361175537
1,0,423,111,491,188,0.7745274901390076
1,0,546,29,589,74,0.5185196399688721
1,0,596,1,634,40,0.30558064579963684
2,0,883,435,1014,617,0.8868647217750549
2,0,845,293,939,417,0.8707165122032166
2,0,316,429,466,575,0.8702369332313538
2,0,600,222,677,321,0.8364951014518738
2,0,528,111,594,182,0.7900593280792236
2,0,423,114,490,187,0.7391825318336487
2,0,546,33,590,75,0.3819311857223511
2,0,597,1,634,41,0.2904875576496124
3,0,884,438,1016,618,0.8839120268821716
3,0,843,294,938,420,0.8685972094535828
3,0,303,440,460,588,0.862646222114563
3,0,598,225,676,328,0.8487605452537537
3,0,529,116,594,185,0.798391580581665
3,0,424,114,490,187,0.7413484454154968
3,0,545,33,590,77,0.33212241530418396
4,0,884,440,1015,621,0.8846076726913452
4,0,290,450,453,602,0.877730667591095
4,0,844,294,939,424,0.8754932880401611
4,0,597,231,676,333,0.8511173129081726
4,0,528,118,594,188,0.7894588112831116
4,0,424,113,491,188,0.7501131296157837
4,0,546,34,591,79,0.36472848057746887
4,0,597,2,634,43,0.250796377658844
5,0,282,459,446,618,0.8925098180770874
5,0,886,441,1018,625,0.891015887260437
5,0,846,294,941,427,0.876876950263977
5,0,595,235,674,341,0.8493337631225586
5,0,527,122,593,193,0.7830386757850647
5,0,425,115,489,188,0.74075847864151
5,0,546,37,591,82,0.38034653663635254
6,0,274,468,442,637,0.8929608464241028
6,0,886,443,1017,627,0.8784714937210083
6,0,848,297,940,428,0.873214840888977
6,0,593,237,675,346,0.8505403995513916
6,0,526,123,592,197,0.7997586727142334
6,0,425,115,490,188,0.7848170399665833
6,0,544,37,591,84,0.49570924043655396
6,0,597,3,635,47,0.44916608929634094
7,0,263,482,435,654,0.8832407593727112
7,0,887,444,1018,630,0.8775067925453186
7,0,849,298,941,432,0.8773601651191711
7,0,588,241,675,354,0.8373990654945374
